comnapy,Symbol
Activision Blizzard_,ATVI
Adobe Systems Incorporated_,ADBE
Alexion Pharmaceuticals_,ALXN
"Align Technology, Inc._",ALGN
Alphabet Inc._Class A ,GOOGL
Alphabet Inc._Class C ,GOOG
"Amazon.com, Inc._",AMZN
American Airlines Group_,AAL
Amgen Inc._,AMGN
Analog Devices_,ADI
Apple Inc._,AAPL
"Applied Materials, Inc._",AMAT
ASML Holding_,ASML
"Autodesk, Inc._",ADSK
"Automatic Data Processing, Inc._",ADP
"Baidu.com, Inc._",BIDU
"Biogen, Inc_",BIIB
"BioMarin Pharmaceutical, Inc._",BMRN
Broadcom Limited_,AVGO
CA Technologies_,CA
"Cadence Design Systems, Inc._",CDNS
Celgene Corporation_,CELG
Cerner Corporation_,CERN
"Charter Communications, Inc._",CHTR
Check Point Software Technologies Ltd._,CHKP
Cintas Corporation_,CTAS
"Cisco Systems, Inc._",CSCO
"Citrix Systems, Inc._",CTXS
Cognizant Technology Solutions Corporation_,CTSH
Comcast Corporation_,CMCSA
Costco Wholesale Corporation_,COST
CSX Corporation_,CSX
CTrip International_,CTRP
Dentsply Sirona_,XRAY
"Dish Network, Inc._",DISH
"Dollar Tree, Inc._",DLTR
eBay Inc._,EBAY
Electronic Arts_,EA
"Expedia, Inc._",EXPE
"Express Scripts, Inc._",ESRX
"Facebook, Inc._",FB
Fastenal Company_,FAST
"Fiserv, Inc._",FISV
"Gilead Sciences, Inc._",GILD
"Hasbro, Inc._",HAS
"Henry Schein, Inc._",HSIC
"Hologic, Inc._",HOLX
"IDEXX Laboratories, Inc._",IDXX
"Illumina, Inc._",ILMN
Incyte Corporation_,INCY
Intel Corporation_,INTC
"Intuit, Inc._",INTU
Intuitive Surgical Inc._,ISRG
"J.B. Hunt Transport Services, Inc._",JBHT
JD.com_,JD
KLA-Tencor Corporation_,KLAC
"Lam Research, Inc._",LRCX
Liberty Global_plc Ordinary A ,LBTYA
Liberty Global_plc Ordinary C ,LBTYK
Liberty Interactive_,LVNTA
Liberty Interactive_,QVCA
"Marriott International, Inc._",MAR
Maxim Integrated Products_,MXIM
MercadoLibre_,MELI
Microchip Technology_,MCHP
"Micron Technology, Inc._",MU
Microsoft Corporation_,MSFT
Mondel_z International_,MDLZ
Monster Beverage_,MNST
Mylan N.V._,MYL
"NetEase, Inc._",NTES
Netflix_,NFLX
NVIDIA Corporation_,NVDA
"O'Reilly Automotive, Inc._",ORLY
PACCAR Inc._,PCAR
"Paychex, Inc._",PAYX
"PayPal Holdings, Inc._",PYPL
QUALCOMM Incorporated_,QCOM
Regeneron Pharmaceuticals_,REGN
Ross Stores Inc._,ROST
Seagate Technology Holdings_,STX
Shire plc_,SHPG
"Sirius XM Radio, Inc._",SIRI
"Skyworks Solutions, Inc._",SWKS
Starbucks Corporation_,SBUX
Symantec Corporation_,SYMC
"Synopsys, Inc._",SNPS
T-Mobile US_,TMUS
"Take-Two Interactive, Inc._",TTWO
"Tesla, Inc._",TSLA
"Texas Instruments, Inc._",TXN
The Kraft Heinz Company_,KHC
The Priceline Group_,PCLN
Twenty-First Century Fox_Class A ,FOXA
Twenty-First Century Fox_Class B ,FOX
Ulta Beauty_,ULTA
Verisk Analytics_,VRSK
Vertex Pharmaceuticals_,VRTX
"Vodafone Group, plc._",VOD
Walgreens Boots Alliance_,WBA
Western Digital_,WDC
"Workday, Inc._",WDAY
Wynn Resorts_,WYNN
"Xilinx, Inc._",XLNX